"","Status.of.existing.checking.account","Duration.in.months","Credit.history","Purpose","Credit.amount","Savings.account.bonds","Present.employment.since","Installment.rate.in.percentage.of.disposable.income","Personal.status.and.sex","Other.debtors...guarantors","Present.residence.since","Property","Age.in.years","Other.installment.plans","Housing","Number.of.existing.credits.at.this.bank","Job","Number.of.people.being.liable.to.provide.maintenance.for","Telephone","Foreign.worker","Score"
"167","Negative",18,"existing credits paid back duly till now","furniture/equipment",1131,"less than 100","Unemployed",4,"female (divorced/separated/married)","none",2,"car or other",33,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"168","0 - 200",11,"existing credits paid back duly till now","furniture/equipment",1577,"more than 1000","less than 1 year",4,"female (divorced/separated/married)","none",1,"real estate",20,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"169","No checking account",24,"existing credits paid back duly till now","furniture/equipment",3972,"less than 100","4 to 7 years",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",25,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"170","0 - 200",24,"critical account/ other credits existing (not at this bank)","business",1935,"less than 100","more than 7 years",4,"male (divorced/separated)","none",4,"real estate",31,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"171","Negative",15,"no credits taken / all credits paid back duly","car (new)",950,"less than 100","more than 7 years",4,"male (single)","none",3,"car or other",33,"none","rent",2,"skilled employee / official",2,"none","Yes","bad"
"172","No checking account",12,"existing credits paid back duly till now","furniture/equipment",763,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",1,"real estate",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"173","0 - 200",24,"delay in paying off in the past","furniture/equipment",2064,"less than 100","Unemployed",3,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",34,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"174","0 - 200",8,"existing credits paid back duly till now","radio/television",1414,"less than 100","1 to 4 years",4,"male (single)","guarantor",2,"real estate",33,"none","own",1,"skilled employee / official",1,"none","No","good"
"175","Negative",21,"delay in paying off in the past","education",3414,"less than 100","less than 1 year",2,"male (single)","none",1,"building society savings agreement/ life insurance",26,"none","own",2,"skilled employee / official",1,"none","Yes","bad"
"176","No checking account",30,"all credits at this bank paid back duly","car (used)",7485,"unknown / no savings account","Unemployed",4,"female (divorced/separated/married)","none",1,"real estate",53,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"177","Negative",12,"existing credits paid back duly till now","furniture/equipment",2577,"less than 100","1 to 4 years",2,"male (divorced/separated)","none",1,"car or other",42,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"178","Negative",6,"critical account/ other credits existing (not at this bank)","radio/television",338,"500 to 1000","more than 7 years",4,"male (single)","none",4,"car or other",52,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"179","No checking account",12,"existing credits paid back duly till now","radio/television",1963,"less than 100","4 to 7 years",4,"male (single)","none",2,"car or other",31,"none","rent",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good"
"180","Negative",21,"critical account/ other credits existing (not at this bank)","car (new)",571,"less than 100","more than 7 years",4,"male (single)","none",4,"real estate",65,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"181","No checking account",36,"delay in paying off in the past","business",9572,"less than 100","less than 1 year",1,"male (divorced/separated)","none",1,"car or other",28,"none","own",2,"skilled employee / official",1,"none","Yes","bad"
"182","0 - 200",36,"delay in paying off in the past","business",4455,"less than 100","1 to 4 years",2,"male (divorced/separated)","none",2,"real estate",30,"stores","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"183","Negative",21,"all credits at this bank paid back duly","car (new)",1647,"unknown / no savings account","1 to 4 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",40,"none","own",2,"unskilled - resident",2,"none","Yes","bad"
"184","No checking account",24,"critical account/ other credits existing (not at this bank)","furniture/equipment",3777,"more than 1000","1 to 4 years",4,"male (single)","none",4,"real estate",50,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"185","0 - 200",18,"critical account/ other credits existing (not at this bank)","car (new)",884,"less than 100","more than 7 years",4,"male (single)","none",4,"car or other",36,"bank","own",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","bad"
"186","No checking account",15,"critical account/ other credits existing (not at this bank)","radio/television",1360,"less than 100","1 to 4 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",31,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"187","0 - 200",9,"all credits at this bank paid back duly","car (used)",5129,"less than 100","more than 7 years",2,"female (divorced/separated/married)","none",4,"unknown / no property",74,"bank","for free",1,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","bad"
"188","0 - 200",16,"critical account/ other credits existing (not at this bank)","car (new)",1175,"less than 100","Unemployed",2,"male (single)","none",3,"car or other",68,"none","for free",3,"unemployed / unskilled - non-resident",1,"yes, registered under the customers name","Yes","good"
"189","Negative",12,"existing credits paid back duly till now","radio/television",674,"100 to 500","4 to 7 years",4,"male (married/widowed)","none",1,"building society savings agreement/ life insurance",20,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"190","0 - 200",18,"no credits taken / all credits paid back duly","furniture/equipment",3244,"less than 100","1 to 4 years",1,"female (divorced/separated/married)","none",4,"car or other",33,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"191","No checking account",24,"existing credits paid back duly till now","business",4591,"more than 1000","1 to 4 years",2,"male (single)","none",3,"building society savings agreement/ life insurance",54,"none","own",3,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"192","0 - 200",48,"no credits taken / all credits paid back duly","business",3844,"100 to 500","4 to 7 years",4,"male (single)","none",4,"unknown / no property",34,"none","for free",1,"unskilled - resident",2,"none","Yes","bad"
"193","0 - 200",27,"existing credits paid back duly till now","business",3915,"less than 100","1 to 4 years",4,"male (single)","none",2,"car or other",36,"none","own",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","bad"
"194","No checking account",6,"existing credits paid back duly till now","radio/television",2108,"less than 100","4 to 7 years",2,"male (married/widowed)","none",2,"real estate",29,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
"195","0 - 200",45,"existing credits paid back duly till now","radio/television",3031,"100 to 500","1 to 4 years",4,"male (single)","guarantor",4,"building society savings agreement/ life insurance",21,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
"196","0 - 200",9,"critical account/ other credits existing (not at this bank)","education",1501,"less than 100","more than 7 years",2,"female (divorced/separated/married)","none",3,"car or other",34,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"197","No checking account",6,"critical account/ other credits existing (not at this bank)","radio/television",1382,"less than 100","1 to 4 years",1,"female (divorced/separated/married)","none",1,"car or other",28,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"198","0 - 200",12,"existing credits paid back duly till now","furniture/equipment",951,"100 to 500","less than 1 year",4,"female (divorced/separated/married)","none",4,"car or other",27,"bank","rent",4,"skilled employee / official",1,"none","Yes","bad"
"199","0 - 200",24,"existing credits paid back duly till now","car (used)",2760,"unknown / no savings account","more than 7 years",4,"male (single)","none",4,"unknown / no property",36,"bank","for free",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"200","0 - 200",18,"delay in paying off in the past","furniture/equipment",4297,"less than 100","more than 7 years",4,"male (divorced/separated)","none",3,"unknown / no property",40,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"201","No checking account",9,"critical account/ other credits existing (not at this bank)","education",936,"500 to 1000","more than 7 years",4,"male (single)","none",2,"car or other",52,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"202","Negative",12,"existing credits paid back duly till now","car (new)",1168,"less than 100","1 to 4 years",4,"male (married/widowed)","none",3,"real estate",27,"none","own",1,"unskilled - resident",1,"none","Yes","good"
"203","No checking account",27,"delay in paying off in the past","business",5117,"less than 100","4 to 7 years",3,"male (single)","none",4,"car or other",26,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"204","Negative",12,"existing credits paid back duly till now","retraining",902,"less than 100","4 to 7 years",4,"male (married/widowed)","none",4,"building society savings agreement/ life insurance",21,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
"205","No checking account",12,"critical account/ other credits existing (not at this bank)","car (new)",1495,"less than 100","more than 7 years",4,"male (single)","none",1,"real estate",38,"none","own",2,"unskilled - resident",2,"none","Yes","good"
"206","Negative",30,"critical account/ other credits existing (not at this bank)","car (used)",10623,"less than 100","more than 7 years",3,"male (single)","none",4,"unknown / no property",38,"none","for free",3,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good"
"207","No checking account",12,"critical account/ other credits existing (not at this bank)","furniture/equipment",1935,"less than 100","more than 7 years",4,"male (single)","none",4,"real estate",43,"none","own",3,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"208","0 - 200",12,"critical account/ other credits existing (not at this bank)","domestic appliances",1424,"less than 100","4 to 7 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",26,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"209","Negative",24,"existing credits paid back duly till now","business",6568,"less than 100","1 to 4 years",2,"male (married/widowed)","none",2,"car or other",21,"stores","own",1,"unskilled - resident",1,"none","Yes","good"
"210","No checking account",12,"existing credits paid back duly till now","car (used)",1413,"more than 1000","4 to 7 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",55,"none","own",1,"skilled employee / official",1,"none","No","good"
"211","No checking account",9,"critical account/ other credits existing (not at this bank)","radio/television",3074,"unknown / no savings account","1 to 4 years",1,"male (single)","none",2,"real estate",33,"none","own",2,"skilled employee / official",2,"none","Yes","good"
"212","No checking account",36,"existing credits paid back duly till now","radio/television",3835,"unknown / no savings account","more than 7 years",2,"female (divorced/separated/married)","none",4,"real estate",45,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","good"
"213","Negative",27,"no credits taken / all credits paid back duly","business",5293,"less than 100","Unemployed",2,"male (single)","none",4,"building society savings agreement/ life insurance",50,"stores","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"214","Over 200",30,"delay in paying off in the past","business",1908,"less than 100","more than 7 years",4,"male (single)","none",4,"real estate",66,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"215","No checking account",36,"critical account/ other credits existing (not at this bank)","radio/television",3342,"unknown / no savings account","more than 7 years",4,"male (single)","none",2,"car or other",51,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"216","0 - 200",6,"critical account/ other credits existing (not at this bank)","retraining",932,"unknown / no savings account","4 to 7 years",1,"female (divorced/separated/married)","none",3,"building society savings agreement/ life insurance",39,"none","own",2,"unskilled - resident",1,"none","Yes","good"
"217","Negative",18,"no credits taken / all credits paid back duly","business",3104,"less than 100","4 to 7 years",3,"male (single)","none",1,"building society savings agreement/ life insurance",31,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"218","Over 200",36,"existing credits paid back duly till now","radio/television",3913,"less than 100","1 to 4 years",2,"male (single)","none",2,"real estate",23,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"219","Negative",24,"existing credits paid back duly till now","furniture/equipment",3021,"less than 100","1 to 4 years",2,"male (divorced/separated)","none",2,"real estate",24,"none","rent",1,"unskilled - resident",1,"none","Yes","good"
"220","No checking account",10,"existing credits paid back duly till now","car (new)",1364,"less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",64,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"221","0 - 200",12,"existing credits paid back duly till now","radio/television",625,"less than 100","less than 1 year",4,"male (married/widowed)","guarantor",1,"real estate",26,"bank","own",1,"unskilled - resident",1,"none","Yes","good"
"222","Negative",12,"existing credits paid back duly till now","education",1200,"unknown / no savings account","1 to 4 years",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",23,"bank","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"223","No checking account",12,"existing credits paid back duly till now","radio/television",707,"less than 100","1 to 4 years",4,"male (single)","none",2,"real estate",30,"bank","own",2,"skilled employee / official",1,"none","Yes","good"
"224","No checking account",24,"delay in paying off in the past","business",2978,"unknown / no savings account","1 to 4 years",4,"male (single)","none",4,"real estate",32,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
"225","No checking account",15,"existing credits paid back duly till now","car (used)",4657,"less than 100","1 to 4 years",3,"male (single)","none",2,"car or other",30,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"226","No checking account",36,"no credits taken / all credits paid back duly","repairs",2613,"less than 100","1 to 4 years",4,"male (single)","none",2,"car or other",27,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"227","0 - 200",48,"existing credits paid back duly till now","radio/television",10961,"more than 1000","4 to 7 years",1,"male (single)","co-Applicant",2,"unknown / no property",27,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"228","Negative",12,"existing credits paid back duly till now","furniture/equipment",7865,"less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",53,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"229","No checking account",9,"existing credits paid back duly till now","radio/television",1478,"less than 100","4 to 7 years",4,"male (single)","none",2,"car or other",22,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"230","Negative",24,"existing credits paid back duly till now","furniture/equipment",3149,"less than 100","less than 1 year",4,"male (single)","none",1,"unknown / no property",22,"bank","for free",1,"skilled employee / official",1,"none","Yes","good"
"231","Over 200",36,"existing credits paid back duly till now","radio/television",4210,"less than 100","1 to 4 years",4,"male (single)","none",2,"car or other",26,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"232","No checking account",9,"existing credits paid back duly till now","car (new)",2507,"500 to 1000","more than 7 years",2,"male (single)","none",4,"unknown / no property",51,"none","for free",1,"unskilled - resident",1,"none","Yes","good"
"233","No checking account",12,"existing credits paid back duly till now","radio/television",2141,"100 to 500","4 to 7 years",3,"male (single)","none",1,"unknown / no property",35,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"234","0 - 200",18,"existing credits paid back duly till now","radio/television",866,"less than 100","1 to 4 years",4,"male (married/widowed)","guarantor",2,"real estate",25,"none","own",1,"unskilled - resident",1,"none","Yes","good"
"235","No checking account",4,"critical account/ other credits existing (not at this bank)","radio/television",1544,"less than 100","4 to 7 years",2,"male (single)","none",1,"real estate",42,"none","own",3,"unskilled - resident",2,"none","Yes","good"
"236","Negative",24,"existing credits paid back duly till now","radio/television",1823,"less than 100","Unemployed",4,"male (single)","none",2,"car or other",30,"stores","own",1,"management / self-employed / highly qualified employee / officer",2,"none","Yes","bad"
"237","0 - 200",6,"existing credits paid back duly till now","car (new)",14555,"unknown / no savings account","Unemployed",1,"male (single)","none",2,"building society savings agreement/ life insurance",23,"none","own",1,"unemployed / unskilled - non-resident",1,"yes, registered under the customers name","Yes","bad"
"238","0 - 200",21,"existing credits paid back duly till now","business",2767,"100 to 500","more than 7 years",4,"male (divorced/separated)","none",2,"car or other",61,"bank","rent",2,"unskilled - resident",1,"none","Yes","bad"
"239","No checking account",12,"critical account/ other credits existing (not at this bank)","radio/television",1291,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",35,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"240","Negative",30,"existing credits paid back duly till now","radio/television",2522,"less than 100","more than 7 years",1,"male (single)","guarantor",3,"building society savings agreement/ life insurance",39,"none","own",1,"skilled employee / official",2,"none","Yes","good"
"241","Negative",24,"existing credits paid back duly till now","car (new)",915,"unknown / no savings account","more than 7 years",4,"female (divorced/separated/married)","none",2,"car or other",29,"bank","own",1,"skilled employee / official",1,"none","Yes","bad"
"242","No checking account",6,"existing credits paid back duly till now","radio/television",1595,"less than 100","4 to 7 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",51,"none","own",1,"skilled employee / official",2,"none","Yes","good"
"243","Negative",48,"no credits taken / all credits paid back duly","car (used)",4605,"less than 100","more than 7 years",3,"male (single)","none",4,"unknown / no property",24,"none","for free",2,"skilled employee / official",2,"none","Yes","bad"
"244","No checking account",12,"critical account/ other credits existing (not at this bank)","business",1185,"less than 100","1 to 4 years",3,"female (divorced/separated/married)","none",2,"real estate",27,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"245","No checking account",12,"all credits at this bank paid back duly","retraining",3447,"500 to 1000","1 to 4 years",4,"female (divorced/separated/married)","none",3,"real estate",35,"none","own",1,"unskilled - resident",2,"none","Yes","good"
"246","No checking account",24,"existing credits paid back duly till now","business",1258,"less than 100","4 to 7 years",4,"male (single)","none",1,"real estate",25,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"247","No checking account",12,"critical account/ other credits existing (not at this bank)","radio/television",717,"less than 100","more than 7 years",4,"male (single)","none",4,"real estate",52,"none","own",3,"skilled employee / official",1,"none","Yes","good"
"248","No checking account",6,"no credits taken / all credits paid back duly","car (new)",1204,"100 to 500","1 to 4 years",4,"male (single)","none",1,"unknown / no property",35,"bank","rent",1,"skilled employee / official",1,"none","No","good"
"249","Over 200",24,"existing credits paid back duly till now","furniture/equipment",1925,"less than 100","1 to 4 years",2,"male (single)","none",2,"real estate",26,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"250","No checking account",18,"existing credits paid back duly till now","radio/television",433,"less than 100","Unemployed",3,"female (divorced/separated/married)","co-Applicant",4,"real estate",22,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
"251","Negative",6,"critical account/ other credits existing (not at this bank)","car (new)",666,"more than 1000","4 to 7 years",3,"female (divorced/separated/married)","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"yes, registered under the customers name","Yes","good"
"252","Over 200",12,"existing credits paid back duly till now","furniture/equipment",2251,"less than 100","1 to 4 years",1,"female (divorced/separated/married)","none",2,"car or other",46,"none","own",1,"unskilled - resident",1,"none","Yes","good"
"253","0 - 200",30,"existing credits paid back duly till now","car (new)",2150,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","guarantor",2,"unknown / no property",24,"bank","own",1,"skilled employee / official",1,"none","Yes","bad"
"254","No checking account",24,"delay in paying off in the past","furniture/equipment",4151,"100 to 500","1 to 4 years",2,"male (single)","none",3,"building society savings agreement/ life insurance",35,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"255","0 - 200",9,"existing credits paid back duly till now","furniture/equipment",2030,"unknown / no savings account","4 to 7 years",2,"male (single)","none",1,"car or other",24,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"256","0 - 200",60,"delay in paying off in the past","radio/television",7418,"unknown / no savings account","1 to 4 years",1,"male (single)","none",1,"real estate",27,"none","own",1,"unskilled - resident",1,"none","Yes","good"
"257","No checking account",24,"critical account/ other credits existing (not at this bank)","radio/television",2684,"less than 100","1 to 4 years",4,"male (single)","none",2,"real estate",35,"none","own",2,"unskilled - resident",1,"none","Yes","good"
"258","Negative",12,"all credits at this bank paid back duly","radio/television",2149,"less than 100","1 to 4 years",4,"male (divorced/separated)","none",1,"unknown / no property",29,"none","for free",1,"skilled employee / official",1,"none","Yes","bad"
"259","No checking account",15,"existing credits paid back duly till now","car (used)",3812,"100 to 500","less than 1 year",1,"female (divorced/separated/married)","none",4,"car or other",23,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"260","No checking account",11,"critical account/ other credits existing (not at this bank)","radio/television",1154,"100 to 500","Unemployed",4,"female (divorced/separated/married)","none",4,"real estate",57,"none","own",3,"unskilled - resident",1,"none","Yes","good"
"261","Negative",12,"existing credits paid back duly till now","furniture/equipment",1657,"less than 100","1 to 4 years",2,"male (single)","none",2,"real estate",27,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"262","Negative",24,"existing credits paid back duly till now","radio/television",1603,"less than 100","more than 7 years",4,"female (divorced/separated/married)","none",4,"car or other",55,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"263","Negative",18,"critical account/ other credits existing (not at this bank)","car (new)",5302,"less than 100","more than 7 years",2,"male (single)","none",4,"unknown / no property",36,"none","for free",3,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"264","No checking account",12,"critical account/ other credits existing (not at this bank)","education",2748,"less than 100","more than 7 years",2,"female (divorced/separated/married)","none",4,"unknown / no property",57,"bank","for free",3,"unskilled - resident",1,"none","Yes","good"
"265","No checking account",10,"critical account/ other credits existing (not at this bank)","car (new)",1231,"less than 100","more than 7 years",3,"male (single)","none",4,"real estate",32,"none","own",2,"unskilled - resident",2,"none","No","good"
"266","0 - 200",15,"existing credits paid back duly till now","radio/television",802,"less than 100","more than 7 years",4,"male (single)","none",3,"car or other",37,"none","own",1,"skilled employee / official",2,"none","Yes","bad"
"267","No checking account",36,"critical account/ other credits existing (not at this bank)","business",6304,"unknown / no savings account","more than 7 years",4,"male (single)","none",4,"real estate",36,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"268","No checking account",24,"existing credits paid back duly till now","radio/television",1533,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",3,"car or other",38,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"269","Negative",14,"existing credits paid back duly till now","car (new)",8978,"less than 100","more than 7 years",1,"male (divorced/separated)","none",4,"building society savings agreement/ life insurance",45,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","No","bad"
"270","No checking account",24,"existing credits paid back duly till now","radio/television",999,"unknown / no savings account","more than 7 years",4,"male (single)","none",2,"car or other",25,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"271","No checking account",18,"existing credits paid back duly till now","car (new)",2662,"unknown / no savings account","4 to 7 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",32,"none","own",1,"skilled employee / official",1,"none","No","good"
"272","No checking account",12,"critical account/ other credits existing (not at this bank)","furniture/equipment",1402,"500 to 1000","4 to 7 years",3,"female (divorced/separated/married)","none",4,"car or other",37,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"273","0 - 200",48,"all credits at this bank paid back duly","car (new)",12169,"unknown / no savings account","Unemployed",4,"male (single)","co-Applicant",4,"unknown / no property",36,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"274","0 - 200",48,"existing credits paid back duly till now","radio/television",3060,"less than 100","4 to 7 years",4,"male (single)","none",4,"real estate",28,"none","own",2,"skilled employee / official",1,"none","Yes","bad"
"275","Negative",30,"existing credits paid back duly till now","repairs",11998,"less than 100","less than 1 year",1,"male (divorced/separated)","none",1,"unknown / no property",34,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad"
"276","No checking account",9,"existing credits paid back duly till now","radio/television",2697,"less than 100","1 to 4 years",1,"male (single)","none",2,"real estate",32,"none","own",1,"skilled employee / official",2,"none","Yes","good"
"277","No checking account",18,"critical account/ other credits existing (not at this bank)","radio/television",2404,"less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",2,"car or other",26,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"278","Negative",12,"existing credits paid back duly till now","furniture/equipment",1262,"unknown / no savings account","more than 7 years",2,"male (divorced/separated)","none",4,"building society savings agreement/ life insurance",49,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","good"
"279","No checking account",6,"existing credits paid back duly till now","furniture/equipment",4611,"less than 100","less than 1 year",1,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",32,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"280","No checking account",24,"existing credits paid back duly till now","radio/television",1901,"100 to 500","1 to 4 years",4,"male (single)","none",4,"car or other",29,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"281","No checking account",15,"critical account/ other credits existing (not at this bank)","car (used)",3368,"more than 1000","more than 7 years",3,"male (single)","none",4,"unknown / no property",23,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"282","No checking account",12,"existing credits paid back duly till now","furniture/equipment",1574,"less than 100","1 to 4 years",4,"male (single)","none",2,"real estate",50,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"283","Over 200",18,"all credits at this bank paid back duly","radio/television",1445,"unknown / no savings account","4 to 7 years",4,"male (single)","none",4,"car or other",49,"bank","own",1,"unskilled - resident",1,"none","Yes","good"
"284","No checking account",15,"critical account/ other credits existing (not at this bank)","furniture/equipment",1520,"unknown / no savings account","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",63,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"285","0 - 200",24,"critical account/ other credits existing (not at this bank)","car (new)",3878,"100 to 500","less than 1 year",4,"male (divorced/separated)","none",2,"car or other",37,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"286","Negative",47,"existing credits paid back duly till now","car (new)",10722,"less than 100","less than 1 year",1,"female (divorced/separated/married)","none",1,"real estate",35,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","good"
"287","Negative",48,"existing credits paid back duly till now","car (used)",4788,"less than 100","4 to 7 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",26,"none","own",1,"skilled employee / official",2,"none","Yes","good"
"288","0 - 200",48,"delay in paying off in the past","others",7582,"100 to 500","Unemployed",2,"male (single)","none",4,"unknown / no property",31,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"289","0 - 200",12,"existing credits paid back duly till now","radio/television",1092,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","guarantor",4,"real estate",49,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"290","Negative",24,"delay in paying off in the past","radio/television",1024,"less than 100","less than 1 year",4,"male (married/widowed)","none",4,"real estate",48,"stores","own",1,"skilled employee / official",1,"none","Yes","bad"
"291","No checking account",12,"existing credits paid back duly till now","business",1076,"less than 100","1 to 4 years",2,"male (married/widowed)","none",2,"real estate",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","No","good"
"292","0 - 200",36,"existing credits paid back duly till now","car (used)",9398,"less than 100","less than 1 year",1,"male (married/widowed)","none",4,"car or other",28,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"293","Negative",24,"critical account/ other credits existing (not at this bank)","car (used)",6419,"less than 100","more than 7 years",2,"female (divorced/separated/married)","none",4,"unknown / no property",44,"none","for free",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good"
"294","Over 200",42,"critical account/ other credits existing (not at this bank)","car (used)",4796,"less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",56,"none","for free",1,"skilled employee / official",1,"none","Yes","good"
"295","No checking account",48,"critical account/ other credits existing (not at this bank)","business",7629,"unknown / no savings account","more than 7 years",4,"male (divorced/separated)","none",2,"car or other",46,"bank","own",2,"management / self-employed / highly qualified employee / officer",2,"none","Yes","good"
"296","0 - 200",48,"existing credits paid back duly till now","furniture/equipment",9960,"less than 100","less than 1 year",1,"female (divorced/separated/married)","none",2,"car or other",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
